"Employee","SideIndicator"
"1319","=>"
"2859","=>"
"3488","=>"
"4050","=>"
"4074","=>"
"4161","=>"
"4386","=>"
"4397","=>"
"4431","=>"
"4435","=>"
"4506","=>"
"4529","=>"
"4556","=>"
"4561","=>"
"4569","=>"
"4571","=>"
"4573","=>"
"4575","=>"
"9052","=>"
"9129","=>"
"9151","=>"
"9152","=>"
"1036","<="
"1147","<="
"1193","<="
"1280","<="
"1759","<="
"1901","<="
"2160","<="
"2687","<="
"3088","<="
"3128","<="
"3607","<="
"3690","<="
"3717","<="
"3796","<="
"3849","<="
"3950","<="
"4058","<="
"4064","<="
"4141","<="
"4157","<="
"4164","<="
"4184","<="
"4185","<="
"4194","<="
"4250","<="
"4257","<="
"4279","<="
"4291","<="
"4317","<="
"4320","<="
"4337","<="
"4350","<="
"4358","<="
"4368","<="
"4383","<="
"4391","<="
"4408","<="
"4410","<="
"4411","<="
"4418","<="
"4424","<="
"4425","<="
"4429","<="
"4432","<="
"4437","<="
"4446","<="
"4447","<="
"4449","<="
"4458","<="
"4470","<="
"4476","<="
"4479","<="
"4492","<="
"4497","<="
"4503","<="
"4517","<="
"4532","<="
"4535","<="
"4538","<="
"4541","<="
"4563","<="
"4579","<="
"4592","<="
"9122","<="
"9128","<="
"9136","<="
"9137","<="
"9142","<="
"9149","<="
"9158","<="
"9924","<="
"9925","<="
