Client,Server,BaselinesDir,BackupsDir,ListDir,Divide,Root,MonthlyDrive
ACP,ACP-FS-001,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,DATA,E:
ACP,ACP-FS-002,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
TOO,TOO-SRV-002,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,DATA,E:
TOO,TOO-TSE-001,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-APP-001,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-DT-01205,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-DT-030,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-DT-037,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-DT-043,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-LT-021,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-LT-025,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-LT-026,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-LT-028,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-LT-029,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-RDS-001,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-SQL-001,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-SQL-002,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
BLUS,BLUS-SRV-001,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
ENHC,ENHC-SRV-001,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
ACU,ACU-DT-081,D:\Baselines,D:\Backups,D:\Backups\RIBackup\RIMonthly,F,Data,E:
